dictId,index,tier,term,base,level,definition,vocabPattern,matchSummary
pv,204,weak,take over,,B2,To begin to do something that someone else was doing; to take control of something.,,[weak] term:take (term_word)
pv,206,weak,talk down to,,B2,To talk to someone as if you think they are not as clever or important as you are.,,[weak] term:talk (term_word)
pv,220,weak,use up,,B1,To use all of a supply of something.,,[weak] term:use (term_word)
pv,223,weak,warm up,,B1,To make food warm again; to prepare for a sport or activity by doing gentle exercises.,,[weak] term:warm (term_word)
pv,225,weak,water down,,B1,To add water to a drink or liquid in order to make it less strong; to dilute.,,[weak] term:water (term_word)
pv,236,weak,break down,,B1,"If a machine or vehicle breaks down, it stops working.",,[weak] term:breaks (term_word)
pv,242,weak,calm down,,B1,To become calmer or to make someone calmer.,,[weak] term:calmer (term_word)
pv,253,weak,cut off,,B1,"To disconnect something (electricity/phone), or to remove something by cutting.",,[weak] term:cutting (term_word)
pv,255,weak,eat out,,B1,To eat in a restaurant instead of at home.,,[weak] term:eat (term_word)
pv,256,weak,fall down,,B1,To trip and fall to the ground.,,[weak] term:fall (term_word)
pv,261,weak,start out/off,,B1,start a journey,,[weak] term:start (term_word)
pv,269,weak,speed up,,B1,increase speed,,[weak] term:speed (term_word)
pv,284,weak,take over,,B1,"take control of (a business, etc)",,[weak] term:take (term_word)
pv,299,weak,turn over,,B1,turn a page so that the other side is towards you,,[weak] term:turn (term_word)
idioms,1,weak,a home from home,,B2,a place where you feel as relaxed as you do in your own home,,[weak] term:home (term_word)
idioms,2,weak,a leopard can't change its spots,,C1,used for saying that someone will never change their behaviour or character,,[weak] term:change (term_word)
idioms,20,weak,break even,,B2,if a business breaks even it neither makes a profit nor loses money,,[weak] term:breaks (term_word); [weak] term:even (term_word)
idioms,23,weak,change your tune,,B2,to change your opinion or attitude,,[weak] term:change (term_word)
idioms,24,weak,clean as a whistle,,B2,completely honest or legal or extremely clean,,[weak] term:clean (term_word)
idioms,45,weak,get the wrong end of the stick,,B2,to understand something completely wrongly,,[weak] term:wrongly (term_word)
idioms,52,weak,go to your head,,C1,if success goes to your head it makes you think you are better than you really are,,[weak] term:goes (term_word); [weak] term:head (term_word)
idioms,54,weak,have a change of heart,,B2,to change your opinion about something or decide not to do something you planned,,[weak] term:change (term_word)
idioms,56,weak,have time on your hands,,B2,to have more time available than you need,,[weak] term:time (term_word)
idioms,59,weak,home sweet home,,B1,used for saying that you are happy to be back in your own home,,[weak] term:home (term_word)
idioms,63,weak,in the nick of time,,B2,just in time to prevent something bad happening,,[weak] term:time (term_word)
idioms,69,weak,keep sth under your hat,,B2,to keep something secret,,[weak] term:keep (term_word)
idioms,75,weak,know what's what,,B2,to know the important facts about a situation,,[weak] term:know (term_word)
idioms,83,weak,like two peas in a pod,,B2,"used for saying that two people look, behave or think exactly the same",,[weak] term:two (term_word)
idioms,89,weak,make yourself at home,,B1,to feel relaxed and behave as you do in your own home,,[weak] term:home (term_word)
idioms,91,weak,no rhyme or reason,,B2,used for emphasising that there is no reason or explanation for something,,[weak] term:reason (term_word)
idioms,95,weak,on good terms (with),,B2,to have a good relationship with someone,,[weak] term:good (term_word)
idioms,103,weak,pride of place,,B2,in the place that is most central or important,,[weak] term:place (term_word)
idioms,107,weak,put your feet up,,B2,to sit down and relax especially with your feet raised off the ground,,[weak] term:feet (term_word)
idioms,112,weak,ring a bell,,B2,if something rings a bell it sounds familiar but you cannot remember the exact details,,[weak] term:rings (term_word); [weak] term:bell (term_word)
idioms,114,weak,satellite town,,B2,a town or city that is close to and depends on a larger city,,[weak] term:town (term_word)
idioms,121,weak,steal the show,,B2,to receive a lot of attention because you give the best performance in a show or event,,[weak] term:show (term_word)
idioms,123,weak,stop dead in your tracks,,B2,to suddenly stop for example because you are surprised,,[weak] term:stop (term_word)
idioms,124,weak,take a short cut,,B2,to follow a path that is quicker and shorter than the usual way,,[weak] term:shorter (term_word)
idioms,128,weak,tell tales,,B2,to tell someone in authority about bad things that someone else has done because you want them to be punished,,[weak] term:tell (term_word)
idioms,140,weak,variety is the spice of life,,B2,used for saying that different experiences and situations make life enjoyable or interesting,,[weak] term:life (term_word)
colloc,4,weak,Internet access,access,A2,Ability to connect to the internet,,[weak] term:internet (term_word)
colloc,10,weak,Act in good/bad faith,act,C1,Act honestly/dishonestly,,[weak] term:act (term_word); [weak] base:act (base_word)
colloc,11,weak,Act out of desperation,act,C1,Act due to extreme hopelessness,,[weak] term:act (term_word); [weak] base:act (base_word)
colloc,18,weak,At/By/From the age of,age,A2,Starting at a specific age,,[weak] term:age (term_word); [weak] base:age (base_word)
colloc,19,weak,Under age,age,B1,Below legal age,,[weak] term:age (term_word); [weak] base:age (base_word)
colloc,20,weak,School/Working/Driving age,age,A2,Age for specific activities,,[weak] term:age (term_word); [weak] base:age (base_word)
colloc,22,weak,Age limit,age,B2,Maximum or minimum age allowed,,[weak] term:age (term_word); [weak] base:age (base_word)
colloc,23,weak,Age bracket/group,age,B2,A specific age range,,[weak] term:age (term_word); [weak] base:age (base_word)
colloc,26,weak,Ages ago,age,B1,A very long time ago,,[weak] term:ago (term_word)
colloc,27,weak,Seems/Feels like ages (since),age,B1,Feels like a long time,,[weak] term:feels (term_word); [weak] term:like (term_word)
colloc,33,weak,Answer the description of,answer,C1,Match a description,,[weak] term:description (term_word)
colloc,40,weak,Without (on) argument,argument,C1,Without disagreement,,[weak] term:without (term_word)
colloc,42,weak,Arm yourself against,arm,C1,Prepare to defend against something,,[weak] term:against (term_word)
colloc,49,weak,Art of doing,art,B2,Skill in doing something,,[weak] term:doing (term_word)
colloc,57,weak,Ask a lot/too much (of sb),ask,B2,Demand a lot,,[weak] term:lot (term_word)
colloc,71,weak,Local authority,authority,B2,Local government body,,[weak] term:local (term_word)
colloc,77,weak,Feel bad (about),bad,A2,Feel guilty or sorry,,[weak] term:feel (term_word)
colloc,93,weak,Behaviour towards,behaviour,B2,How someone acts toward others,,[weak] term:toward (term_word)
colloc,103,weak,Bend sth into (shape/a circle/etc),bend,B2,Shape something by bending it,,[weak] term:bending (term_word); [weak] base:bending (base_word)
colloc,114,weak,Best friend,best,A2,Closest friend,,[weak] term:friend (term_word)
colloc,124,weak,Better off,better,B2,In a better situation,,[weak] term:better (term_word); [weak] base:better (base_word)
colloc,125,weak,Better yet,better,B2,Even better,,[weak] term:better (term_word); [weak] base:better (base_word)
colloc,128,weak,Make a big thing out of,big,C1,Exaggerate the importance of something,,[weak] term:the (term_word)
colloc,138,weak,Big money,big,B2,A lot of money,,[weak] term:money (term_word)
colloc,142,weak,Apartment block,block,A2,Building with multiple apartments,,[weak] term:apartments (term_word)
colloc,147,weak,Book about/on,book,A2,A book on a specific topic,,[weak] term:book (term_word); [weak] base:book (base_word)
colloc,155,weak,Born into,born,B2,Born in a specific family or situation,,[weak] term:born (term_word); [weak] base:born (base_word)
colloc,156,weak,Born and bred,born,B2,Born and raised in a place,,[weak] term:born (term_word); [weak] base:born (base_word)
colloc,158,weak,Newborn,born,A2,Recently born,,[weak] base:born (base_word)
colloc,181,weak,Bricklayer,brick,A2,A person who builds with bricks,,[weak] base:bricks (base_word)
colloc,211,weak,Only child,child,A2,A child with no siblings,,[weak] term:child (term_word); [weak] base:child (base_word)
colloc,216,weak,Child support,child,B2,Financial support for a child,,[weak] term:child (term_word); [weak] term:support (term_word); [weak] base:child (base_word)
colloc,232,weak,Nothing/Time to choose between,choose,C1,No options or limited time to decide,,[weak] term:time (term_word)
colloc,234,weak,Social class,class,A2,Economic or social group,,[weak] term:social (term_word)
colloc,239,weak,Class war,class,C1,Conflict between social classes,,[weak] term:classes (term_word); [weak] base:classes (base_word)
colloc,240,weak,Give sth a (good) clean,clean,A2,Clean thoroughly,,[weak] term:clean (term_word); [weak] base:clean (base_word)
colloc,244,weak,A clean bill of health,clean,C1,Declaration of good health,,[weak] term:health (term_word)
colloc,251,weak,Clear as a bell,clear,C1,Very clear,,[weak] term:clear (term_word); [weak] base:clear (base_word)
colloc,255,weak,Set a clock,clock,A2,Adjust a clock,,[weak] term:clock (term_word); [weak] base:clock (base_word)
colloc,259,weak,Clockwise,clock,A2,In the direction of clock hands,,[weak] base:clock (base_word)
colloc,297,weak,Commit/Report/Witness/Solve a crime,crime,B1,Perform actions related to a crime,,[weak] term:crime (term_word); [weak] base:crime (base_word)
colloc,298,weak,Fight/Combat crime,crime,B2,Take action against crime,,[weak] term:crime (term_word); [weak] base:crime (base_word)
colloc,299,weak,The scene of a crime,crime,B1,Location where a crime occurred,,[weak] term:crime (term_word); [weak] base:crime (base_word)
colloc,301,weak,Crime prevention,crime,B2,Measures to stop crime,,[weak] term:crime (term_word); [weak] base:crime (base_word)
colloc,302,weak,Crime rate,crime,B2,Frequency of crimes,,[weak] term:crimes (term_word); [weak] base:crimes (base_word)
colloc,303,weak,Crime wave,crime,B2,Sudden increase in crime,,[weak] term:crime (term_word); [weak] base:crime (base_word)
colloc,307,weak,Cry yourself to sleep,cry,C1,Cry until you fall asleep,,[weak] term:cry (term_word); [weak] base:cry (base_word)
colloc,308,weak,Cry your eyes/heart out,cry,C1,Cry intensely,,[weak] term:cry (term_word); [weak] base:cry (base_word)
colloc,310,weak,Have a good cry,cry,B1,Cry to release emotions,,[weak] term:cry (term_word); [weak] base:cry (base_word)
colloc,318,weak,At a later/future date,date,B2,At some point in the future,,[weak] term:future (term_word)
colloc,320,weak,Make sb's day,day,B1,Make someone very happy,,[weak] term:make (term_word)
colloc,325,weak,Day off,day,A2,A day free from work,,[weak] term:day (term_word); [weak] base:day (base_word)
colloc,327,weak,Day trip,day,A2,A short journey for the day,,[weak] term:day (term_word); [weak] base:day (base_word)
colloc,333,weak,Dead silence,dead,B2,Complete silence,,[weak] term:silence (term_word)
colloc,336,weak,Dead tired,dead,B1,Extremely tired,,[weak] term:tired (term_word)
colloc,352,weak,Delight in doing,delight,B2,Enjoy doing something,,[weak] term:doing (term_word)
colloc,363,weak,Deny a request,deny,B2,Refuse a request,,[weak] term:request (term_word)
colloc,377,weak,Give sb a dirty look,dirty,C1,Look at someone angrily,,[weak] term:look (term_word)
colloc,386,weak,Discussion group,discussion,B1,A group that talks about a topic,,[weak] term:group (term_word)
colloc,387,weak,Waste disposal,disposal,B2,Getting rid of waste,,[weak] term:waste (term_word)
colloc,397,weak,A reasonable doubt,doubt,B2,A doubt that is justifiable,,[weak] term:doubt (term_word); [weak] base:doubt (base_word)
colloc,415,weak,Drop sb from a team,drop,B2,Remove someone from a team,,[weak] term:team (term_word)
colloc,434,weak,Have/Lack the energy to do,energy,A2,Possess or lack motivation,,[weak] term:lack (term_word)
colloc,436,weak,Nuclear energy,energy,B2,Energy from nuclear reactions,,[weak] term:nuclear (term_word); [weak] term:energy (term_word); [weak] base:energy (base_word)
colloc,443,weak,Equal rights,equal,B2,The same legal or social rights,,[weak] term:rights (term_word)
colloc,445,weak,Stand erect,erect,C1,Stand straight,,[weak] term:stand (term_word)
colloc,461,weak,Fall in love,fall,A2,Begin to love someone,,[weak] term:love (term_word)
colloc,468,weak,Single parent family,family,A2,A family with one parent,,[weak] term:parent (term_word); [weak] term:family (term_word); [weak] base:family (base_word)
colloc,472,weak,Family tree,family,A2,A diagram of family relationships,,[weak] term:family (term_word); [weak] base:family (base_word)
colloc,487,weak,Feel strongly about,feel,B2,Have strong opinions about,,[weak] term:strong (term_word)
colloc,506,weak,Floorboard,floor,A2,Boards that make up a floor,,[weak] base:floor (base_word)
colloc,509,weak,Fly open,fly,C1,Open suddenly,,[weak] term:open (term_word)
colloc,515,weak,Focus group,focus,B2,A group discussing a topic,,[weak] term:group (term_word)
colloc,519,weak,Fold flat,fold,B2,Bend something to lie flat,,[weak] term:flat (term_word)
colloc,520,weak,Fold your arms,fold,A2,Cross your arms,,[weak] term:arms (term_word)
colloc,529,weak,Force a smile,force,C1,Smile insincerely,,[weak] term:smile (term_word)
colloc,531,weak,Police force,force,B2,The body of police officers,,[weak] term:police (term_word)
colloc,541,weak,Without foundation,foundation,C1,Without basis,,[weak] term:without (term_word)
colloc,542,weak,Foundation course,foundation,B2,A basic educational course,,[weak] term:course (term_word)
colloc,543,weak,Foundation stone,foundation,B2,A symbolic first stone,,[weak] term:stone (term_word)
colloc,551,weak,Free time,free,A1,Leisure time,,[weak] term:time (term_word)
colloc,556,weak,Make friends (with),friend,A2,Become friends,,[weak] term:friends (term_word); [weak] base:friends (base_word)
colloc,558,weak,Old friend,friend,A2,A friend from long ago,,[weak] term:friend (term_word); [weak] base:friend (base_word)
colloc,559,weak,Friend of the family,friend,A2,A trusted family acquaintance,,[weak] term:family (term_word)
colloc,560,weak,Family friend,friend,A2,A close friend of the family,,[weak] term:family (term_word); [weak] term:friend (term_word); [weak] base:friend (base_word)
colloc,561,weak,Circle of friends,friend,B2,A group of friends,,[weak] term:friends (term_word); [weak] base:friends (base_word)
colloc,562,weak,Friends who,friend,A2,Friends that,,[weak] term:friends (term_word); [weak] base:friends (base_word)
colloc,564,weak,Generation gap,generation,B2,Differences between generations,,[weak] term:generations (term_word); [weak] base:generations (base_word)
colloc,566,weak,Future generations,generation,B2,People in the future,,[weak] term:future (term_word)
colloc,575,weak,Go and do sth,go,A1,Go somewhere to do something,,[weak] term:go (term_word); [weak] base:go (base_word)
colloc,583,weak,It's no good doing,good,B1,It's useless to do something,,[weak] term:it's (term_word); [weak] term:do (term_word)
colloc,586,weak,Grant a request,grant,B2,Approve a request,,[weak] term:request (term_word)
colloc,595,weak,Guess right,guess,B1,Make a correct guess,,[weak] term:guess (term_word); [weak] base:guess (base_word)
colloc,596,weak,Take/Make/Hazard a guess (at),guess,B1,Attempt to guess,,[weak] term:guess (term_word); [weak] base:guess (base_word)
colloc,598,weak,Lucky guess,guess,B2,A correct guess by chance,,[weak] term:guess (term_word); [weak] base:guess (base_word)
colloc,599,weak,Wild guess,guess,B2,A random guess,,[weak] term:guess (term_word); [weak] base:guess (base_word)
colloc,600,weak,Educated guess,guess,B2,A guess based on knowledge,,[weak] term:guess (term_word); [weak] base:guess (base_word)
colloc,606,weak,Head a ball,head,A2,Hit a ball with your head,,[weak] term:head (term_word); [weak] term:ball (term_word); [weak] base:head (base_word)
colloc,608,weak,Head a list,head,B2,Be at the top of a list,,[weak] term:list (term_word)
colloc,609,weak,Good/Bad for your health,health,A2,Beneficial/Harmful to health,,[weak] term:health (term_word); [weak] base:health (base_word)
colloc,611,weak,Ill health,health,A2,Poor health,,[weak] term:health (term_word); [weak] base:health (base_word)
colloc,613,weak,Health hazard/risk,health,B2,A danger to health,,[weak] term:health (term_word); [weak] base:health (base_word)
colloc,616,weak,Health food,health,A2,Food considered healthy,,[weak] term:food (term_word)
colloc,623,weak,High time,high,C1,The right time to do something,,[weak] term:time (term_word)
colloc,625,weak,A new/all-time/record high,high,B2,The highest level ever,,[weak] term:highest (term_word); [weak] base:highest (base_word)
colloc,627,weak,High street,high,A2,The main shopping street,,[weak] term:street (term_word)
colloc,629,weak,Work long hours,hours,B1,Work for extended periods,,[weak] term:work (term_word)
colloc,633,weak,After hours,hours,B2,Outside normal working hours,,[weak] term:hours (term_word); [weak] base:hours (base_word)
colloc,634,weak,Out of hours,hours,B2,Outside normal business hours,,[weak] term:hours (term_word); [weak] base:hours (base_word)
colloc,646,weak,Human race,human,B2,Humanity,,[weak] term:humanity (term_word); [weak] base:humanity (base_word)
colloc,647,weak,Human rights,human,B2,Basic rights for all people,,[weak] term:rights (term_word)
colloc,675,weak,Keen interest in,keen,B2,Strong interest in,,[weak] term:interest (term_word)
colloc,696,weak,Make sb laugh,laugh,A2,Cause someone to laugh,,[weak] term:laugh (term_word); [weak] base:laugh (base_word)
colloc,703,weak,Follow the law,law,B1,Obey the law,,[weak] term:law (term_word); [weak] base:law (base_word)
colloc,704,weak,Uphold the law,law,B2,Maintain or support the law,,[weak] term:law (term_word); [weak] base:law (base_word)
colloc,705,weak,Pass a law,law,B2,Approve a law,,[weak] term:law (term_word); [weak] base:law (base_word)
colloc,706,weak,Intend a law,law,C1,Plan or propose a law,,[weak] term:law (term_word); [weak] base:law (base_word)
colloc,707,weak,Repeal a law,law,B2,Cancel a law,,[weak] term:law (term_word); [weak] base:law (base_word)
colloc,711,weak,Above the law,law,C1,Not subject to the law,,[weak] term:law (term_word); [weak] base:law (base_word)
colloc,712,weak,By law,law,B2,According to the law,,[weak] term:law (term_word); [weak] base:law (base_word)
colloc,713,weak,Law and order,law,B2,Maintenance of public order,,[weak] term:order (term_word)
colloc,722,weak,Hold the lead,lead,B2,Maintain a leading position,,[weak] term:leading (term_word); [weak] base:leading (base_word)
colloc,729,weak,Leisure time,leisure,B1,Free time,,[weak] term:time (term_word)
colloc,736,weak,Send/write someone a letter,letter,A1,Communicate via letter,,[weak] term:letter (term_word); [weak] base:letter (base_word)
colloc,738,weak,The letter of the law,letter,C1,The exact wording of the law,,[weak] term:law (term_word)
colloc,760,weak,Live to the age of,live,A2,Survive until a certain age,,[weak] term:age (term_word)
colloc,775,weak,Under lock and key,lock,B2,Securely locked,,[weak] term:locked (term_word); [weak] base:locked (base_word)
colloc,778,weak,Long distance,long,A2,Over a great distance,,[weak] term:distance (term_word)
colloc,781,weak,That's your lot,lot,C1,That's all you get,,[weak] term:that's (term_word)
colloc,786,weak,Someone's lot (in life),lot,C1,Someone's fate or situation,,[weak] term:'s (term_word)
colloc,789,weak,Give/send your love to,love,A2,Send affectionate greetings,,[weak] term:send (term_word)
colloc,790,weak,Fall in love,love,A2,Begin to love someone,,[weak] term:love (term_word); [weak] base:love (base_word)
colloc,806,weak,Be quick/slow off the mark,mark,C1,React quickly/slowly,,[weak] term:quickly (term_word); [weak] term:slowly (term_word)
colloc,835,weak,Just/wait a moment,moment,A2,Wait briefly,,[weak] term:wait (term_word)
colloc,838,weak,At this/that moment in time,moment,B2,At a specific time,,[weak] term:time (term_word)
colloc,841,weak,The moment of truth,moment,C1,The critical moment,,[weak] term:moment (term_word); [weak] base:moment (base_word)
colloc,842,weak,Make/earn/spend/cost/etc. money,money,A1,Handle money in various ways,,[weak] term:money (term_word); [weak] base:money (base_word)
colloc,849,weak,Mother country,mother,B2,One's native country,,[weak] term:country (term_word)
colloc,850,weak,Mother-in-law,mother,A2,The mother of one's spouse,,[weak] base:mother (base_word)
colloc,852,weak,Mother Nature,mother,B2,Nature personified,,[weak] term:nature (term_word)
colloc,853,weak,Mother's Day,mother,A2,A day to honor mothers,,[weak] term:day (term_word); [weak] base:mothers (base_word)
colloc,857,weak,Get a move on,move,B1,Start moving quickly,,[weak] term:moving (term_word); [weak] base:moving (base_word)
colloc,860,weak,On the move,move,B2,Moving or traveling,,[weak] term:moving (term_word); [weak] base:moving (base_word)
colloc,865,weak,National holiday,national,A2,A public holiday,,[weak] term:holiday (term_word)
colloc,881,weak,Mother Nature,nature,B2,Nature personified,,[weak] term:nature (term_word); [weak] base:nature (base_word)
colloc,888,weak,The nearest thing to,near,C1,The closest example,,[weak] term:the (term_word)
colloc,909,weak,Play against/for,play,A2,Compete against or represent a team,,[weak] term:against (term_word)
colloc,911,weak,Play by yourself,play,A2,Play alone,,[weak] term:play (term_word); [weak] base:play (base_word)
colloc,936,weak,Take/seize/hold/exercise/exert/wield/abuse power,power,B2,Use power in various ways,,[weak] term:power (term_word); [weak] base:power (base_word)
colloc,938,weak,Beyond someone's power,power,C1,Outside someone's control,,[weak] term:'s (term_word)
colloc,949,weak,Prefer doing,prefer,A2,Like doing something more,,[weak] term:doing (term_word)
colloc,960,weak,Print on,print,B1,Print directly onto something,,[weak] term:print (term_word); [weak] base:print (base_word)
colloc,961,weak,Print in,print,B1,Print using a specific color or style,,[weak] term:print (term_word); [weak] base:print (base_word)
colloc,969,weak,Prison reform,prison,B2,Changes to the prison system,,[weak] term:prison (term_word); [weak] base:prison (base_word)
colloc,970,weak,Prison officer,prison,B2,A prison guard,,[weak] term:prison (term_word); [weak] base:prison (base_word)
colloc,971,weak,Open prison,prison,C1,A low-security prison,,[weak] term:prison (term_word); [weak] base:prison (base_word)
colloc,973,weak,In the process of doing,process,B1,Currently doing something,,[weak] term:doing (term_word)
colloc,974,weak,Peace process,process,B2,Efforts to achieve peace,,[weak] term:peace (term_word)
colloc,977,weak,Provoke a reaction/protest/response,provoke,C1,Cause a reaction,,[weak] term:reaction (term_word)
colloc,980,weak,The purpose of doing,purpose,A2,The reason for doing something,,[weak] term:doing (term_word)
colloc,981,weak,Someone's purpose in doing,purpose,B2,Someone's reason for acting,,[weak] term:'s (term_word)
colloc,990,weak,Quality time,quality,B2,Meaningful time spent with someone,,[weak] term:time (term_word)
colloc,999,weak,Awkward question,question,B2,A difficult or uncomfortable question,,[weak] term:question (term_word); [weak] base:question (base_word)
colloc,1000,weak,Rain hard/heavily,rain,A2,Rain intensely,,[weak] term:rain (term_word); [weak] base:rain (base_word)
colloc,1001,weak,Pour with rain,rain,B1,Rain heavily,,[weak] term:rain (term_word); [weak] base:rain (base_word)
colloc,1002,weak,Heavy/light rain,rain,A2,Intense or mild rain,,[weak] term:rain (term_word); [weak] base:rain (base_word)
colloc,1004,weak,Rainwater,rain,A2,Water from rain,,[weak] base:rain (base_word)
colloc,1005,weak,Caught in the rain,rain,B1,Surprised by rain,,[weak] term:rain (term_word); [weak] base:rain (base_word)
colloc,1006,weak,Raise your hand,raise,A2,Lift your hand to signal,,[weak] term:hand (term_word)
colloc,1011,weak,Raise a smile,raise,C1,Make someone smile,,[weak] term:smile (term_word)
colloc,1028,weak,A good/depressing/etc read,read,B2,A book or text that is enjoyable/sad/etc,,[weak] term:etc (term_word)
colloc,1042,weak,Close/near relative,relative,B2,A family member closely related,,[weak] term:closely (term_word)
colloc,1048,weak,Gain/lose sb's respect,respect,B2,Earn or lose admiration,,[weak] term:lose (term_word)
colloc,1057,weak,Response time,response,B2,Time taken to react,,[weak] term:time (term_word)
colloc,1067,weak,(The) rich and (the) poor,rich,B2,Wealthy and poor people,,[weak] term:poor (term_word)
colloc,1073,weak,Equal rights,right,B2,The same legal or social rights,,[weak] term:rights (term_word); [weak] base:rights (base_word)
colloc,1074,weak,Human rights,right,B2,Basic rights for all people,,[weak] term:rights (term_word); [weak] base:rights (base_word)
colloc,1075,weak,Animal rights,right,B2,Rights for animals,,[weak] term:animals (term_word); [weak] term:rights (term_word); [weak] base:rights (base_word)
colloc,1077,weak,Risk doing,risk,B2,Take a chance by doing something,,[weak] term:doing (term_word)
colloc,1085,weak,Break/bend/follow the rules,rules,B1,Disobey/partially obey/obey rules,,[weak] term:rules (term_word); [weak] base:rules (base_word)
colloc,1129,weak,Shape sth into,shape,B2,Form something into a specific shape,,[weak] term:shape (term_word); [weak] base:shape (base_word)
colloc,1137,weak,Shareholder,share,B2,An owner of company shares,,[weak] base:shares (base_word)
colloc,1139,weak,Share option,share,B2,The right to buy company shares,,[weak] term:shares (term_word); [weak] base:shares (base_word)
colloc,1154,weak,Feel sick,sick,A2,Feel unwell,,[weak] term:feel (term_word)
colloc,1157,weak,Worried sick,sick,C1,Extremely worried,,[weak] term:worried (term_word)
colloc,1161,weak,Sick bag,sick,B2,A bag for vomiting,,[weak] term:bag (term_word)
colloc,1166,weak,On the blue/minus side,side,B2,On the negative side,,[weak] term:side (term_word); [weak] base:side (base_word)
colloc,1169,weak,On either side (of),side,B2,On both sides,,[weak] term:sides (term_word); [weak] base:sides (base_word)
colloc,1170,weak,That's about the size of it,size,C1,That's the situation,,[weak] term:that's (term_word)
colloc,1173,weak,Full size,size,B2,The actual size,,[weak] term:size (term_word); [weak] base:size (base_word)
colloc,1175,weak,Downsize,size,B2,Reduce in size or number,,[weak] base:size (base_word)
colloc,1192,weak,Social call,social,C1,A visit for social reasons,,[weak] term:social (term_word); [weak] base:social (base_word)
colloc,1194,weak,Social club,social,B2,A group for social activities,,[weak] term:social (term_word); [weak] base:social (base_word)
colloc,1202,weak,Never ever,never,B1,Absolutely never,,[weak] term:never (term_word); [weak] base:never (base_word)
colloc,1205,weak,Brand new,new,A2,Completely new,,[weak] term:new (term_word); [weak] base:new (base_word)
colloc,1222,weak,Until further notice,notice,B2,Until new information is given,,[weak] term:until (term_word)
colloc,1245,weak,Head office,office,B2,The main office of a company,,[weak] term:office (term_word); [weak] base:office (base_word)
colloc,1247,weak,Office block,office,B2,A building with offices,,[weak] term:offices (term_word); [weak] base:offices (base_word)
colloc,1248,weak,Office hours,office,A2,The time when an office is open,,[weak] term:office (term_word); [weak] base:office (base_word)
colloc,1250,weak,Get/grow old,old,A2,Become older,,[weak] term:older (term_word); [weak] base:older (base_word)
colloc,1268,weak,The option of doing,option,B2,The choice to do something,,[weak] term:do (term_word)
colloc,1271,weak,Paper piece/sheet of paper,paper,A2,A single sheet,,[weak] term:sheet (term_word)
colloc,1280,weak,Pay someone a compliment,pay,B2,Compliment someone,,[weak] term:compliment (term_word)
colloc,1282,weak,Pay your (last) respects to,pay,C1,Show respect to someone who has died,,[weak] term:respect (term_word)
colloc,1286,weak,Pay and display,pay,B2,A parking payment system,,[weak] term:payment (term_word); [weak] base:payment (base_word)
colloc,1289,weak,Peer group,peer,B2,A group of similar people,,[weak] term:group (term_word)
colloc,1290,weak,Peer pressure,peer,B2,Influence from peers,,[weak] term:peers (term_word); [weak] base:peers (base_word)
