dictId,index,tier,term,base,level,definition,vocabPattern,matchSummary
vocab,50,strong,acrobat,,B2,An acrobat is a person who entertains people by doing amazing physical things.,an_term,[strong] term:acrobat (term_word)
vocab,51,strong,across,,A2,To go across something is to go to the other side of it.,,[strong] term:across (term_word)
vocab,52,strong,act,,A1,An act is a single thing that someone does.,an_term,[strong] term:act (term_word)
vocab,53,strong,active,,A2,"When someone is active, they move a lot or have a lot of things to do.",,[strong] term:active (term_word)
vocab,54,strong,actual,,B2,Actual means real or true.,term_means,[strong] term:actual (term_word)
vocab,55,strong,actually,,A2,Actually means in fact or really.,term_means,[strong] term:actually (term_word)
vocab,56,strong,acute,,B2,"When a bad thing is acute, it is very severe and intense.",,[strong] term:acute (term_word)
vocab,58,strong,adapt,,B2,To adapt means to change in order to deal with a new situation.,to_term,[strong] term:adapt (term_word)
vocab,59,strong,addict,,B2,An addict is a person who cannot stop doing something.,an_term,[strong] term:addict (term_word)
vocab,61,strong,addictive,,B2,"If something is addictive, it is hard to stop doing.",if_term,[strong] term:addictive (term_word)
vocab,62,strong,addition,,A2,Addition is the act of adding something.,term_is,[strong] term:addition (term_word)
vocab,63,strong,address,,A1,An address is the details of where someone lives or works.,an_term,[strong] term:address (term_word)
vocab,64,strong,adequate,,B2,Something adequate is good enough.,something_term,[strong] term:adequate (term_word)
vocab,65,strong,adhere,,B2,To adhere means to act in the way that a rule or agreement says is right.,to_term,[strong] term:adhere (term_word)
vocab,66,strong,adjacent,,B2,"When something is adjacent, it is next to or adjoining something else.",,[strong] term:adjacent (term_word)
vocab,68,strong,adjoin,,B2,To adjoin something means to be next to or attached to something else.,to_term,[strong] term:adjoin (term_word)
vocab,69,strong,adjoining,,B2,"If something is adjoining, it is next to or joined with a building or room.",if_term,[strong] term:adjoining (term_word)
vocab,71,strong,administer,,B2,To administer means to take responsibility for organizing something.,to_term,[strong] term:administer (term_word)
vocab,73,strong,administration,,B2,An administration is the group of people who manage a company or organization.,an_term,[strong] term:administration (term_word)
vocab,74,strong,administrative,,B2,Administrative describes anything related to managing a company or organization.,,[strong] term:administrative (term_word)
vocab,75,strong,administrator,,B2,"An administrator is a person who controls a business, company, or organization.",an_term,[strong] term:administrator (term_word)
vocab,76,strong,admiral,,B2,An admiral is someone who controls many military ships.,an_term,[strong] term:admiral (term_word)
vocab,77,strong,admission,,B2,Admission is the act of allowing to enter a place.,term_is,[strong] term:admission (term_word)
vocab,79,strong,admonish,,B2,To admonish someone is to tell them you disapprove of their behavior.,to_term,[strong] term:admonish (term_word)
vocab,80,strong,adolescent,,B2,An adolescent is a young person or a teenager.,an_term,[strong] term:adolescent (term_word)
vocab,84,strong,adult,,A1,An adult is a person who is more than 18 years old.,an_term,[strong] term:adult (term_word)
vocab,85,strong,advance,,B1,To advance is to go forward.,to_term,[strong] term:advance (term_word)
vocab,86,strong,advantage,,B1,An advantage is something that helps you do better than others.,an_term,[strong] term:advantage (term_word)
vocab,87,strong,advent,,B2,"An advent is the arrival or beginning of an important person, thing, or event.",an_term,[strong] term:advent (term_word)
vocab,88,strong,adventure,,A2,An adventure is a fun or exciting thing that you do.,an_term,[strong] term:adventure (term_word)
vocab,89,strong,adverse,,B2,"Something that has an adverse effect can be harmful, dangerous, or unfavorable.",,[strong] term:adverse (term_word)
vocab,90,strong,advertise,,B1,To advertise is to describe or draw attention to a product or event by using a public medium.,to_term,[strong] term:advertise (term_word)
vocab,91,strong,advice,,A2,Advice is an opinion about what to do.,term_is,[strong] term:advice (term_word)
vocab,92,strong,advise,,B1,To advise someone is to tell them what to do.,to_term,[strong] term:advise (term_word)
vocab,93,strong,advocacy,,B2,Advocacy is the act of supporting or recommending something.,term_is,[strong] term:advocacy (term_word)
vocab,94,strong,advocate,,B2,To advocate a plan or idea is to support or suggest it in public.,to_term,[strong] term:advocate (term_word)
vocab,96,strong,aerial,,B2,"When something is aerial, it relates to being in the air or flying.",,[strong] term:aerial (term_word)
vocab,97,strong,aesthetic,,B2,"If something is aesthetic, then it is concerned with a love of beauty.",if_term,[strong] term:aesthetic (term_word)
vocab,98,strong,affair,,B1,An affair is an event or a thing that happened.,an_term,[strong] term:affair (term_word)
vocab,99,strong,affect,,B1,To affect someone or something is to have an influence over them.,to_term,[strong] term:affect (term_word)
vocab,100,strong,affection,,B2,Affection is a feeling of liking someone or something.,term_is,[strong] term:affection (term_word)
vocab,101,strong,afflict,,B2,To afflict someone means to cause them pain or suffering.,to_term,[strong] term:afflict (term_word)
vocab,102,strong,afflicted,,B2,Afflicted means to suffer physically or mentally.,term_means,[strong] term:afflicted (term_word)
vocab,103,strong,affluent,,B2,"If someone is affluent, they are wealthy.",if_term,[strong] term:affluent (term_word)
vocab,104,strong,afford,,B1,To afford something means to have enough money to pay for it.,to_term,[strong] term:afford (term_word)
vocab,105,strong,afterlife,,B2,The afterlife is a life that some people believe begins when a person dies.,the_term,[strong] term:afterlife (term_word)
vocab,106,strong,afterward,,A2,Afterward means after an event or time.,term_means,[strong] term:afterward (term_word)
vocab,107,strong,again,,A1,Again means one more time.,term_means,[strong] term:again (term_word)
vocab,108,strong,against,,A2,To be against something is to be touching it or opposed to it.,,[strong] term:against (term_word)
vocab,109,strong,age,,A1,Age is how many years someone has lived.,term_is,[strong] term:age (term_word)
vocab,110,strong,agency,,B1,An agency is a business or service set up to act for others.,an_term,[strong] term:agency (term_word)
vocab,111,strong,agenda,,B2,An agenda is a plan or goal that guides someone’s behavior.,an_term,[strong] term:agenda (term_word)
vocab,112,strong,agent,,B1,An agent is a person who works for a company or another person.,an_term,[strong] term:agent (term_word)
vocab,115,strong,aggressive,,B2,"If someone is aggressive, then they constantly want to fight or argue.",if_term,[strong] term:aggressive (term_word)
vocab,119,strong,agree,,A2,To agree is to have the same opinion or belief as another person.,to_term,[strong] term:agree (term_word)
vocab,120,strong,agreement,,B1,An agreement is a formal decision about future action.,an_term,[strong] term:agreement (term_word)
vocab,122,strong,agriculture,,B2,Agriculture is the growing of plants and raising of animals for food.,term_is,[strong] term:agriculture (term_word)
vocab,123,strong,ahead,,A2,"If something is ahead of something else, it is in front of it.",if_term,[strong] term:ahead (term_word)
vocab,124,strong,aid,,B1,To aid someone means to help them.,to_term,[strong] term:aid (term_word)
vocab,125,strong,ail,,B2,To ail means to cause pain or trouble.,to_term,[strong] term:ail (term_word)
vocab,126,strong,ailing,,B2,"If something is ailing, it is sickly or not doing well.",if_term,[strong] term:ailing (term_word)
vocab,127,strong,aim,,B1,An aim is a goal someone wants to make happen.,an_term,[strong] term:aim (term_word)
vocab,128,strong,air,,A1,Air is the invisible gas that surrounds the Earth and that people breathe.,term_is,[strong] term:air (term_word)
vocab,129,strong,aircraft,,B2,"An aircraft is a vehicle that flies in the sky, such as an airplane or helicopter.",an_term,[strong] term:aircraft (term_word)
vocab,131,strong,airport,,A1,An airport is a place where airplanes take off and land.,an_term,[strong] term:airport (term_word)
vocab,132,strong,airway,,B2,An airway is the passage by which air reaches a person’s lungs.,an_term,[strong] term:airway (term_word)
vocab,133,strong,aisle,,B1,An aisle is a space between two things that people use to walk.,an_term,[strong] term:aisle (term_word)
vocab,134,strong,alarm,,B1,An alarm is something that warns people of danger.,an_term,[strong] term:alarm (term_word)
vocab,135,strong,albeit,,B2,Albeit means although.,term_means,[strong] term:albeit (term_word)
vocab,136,strong,alcohol,,A2,Alcohol is a type of drink that can make people drunk.,term_is,[strong] term:alcohol (term_word)
vocab,137,strong,alert,,B2,To alert someone is to tell or warn that person about something.,to_term,[strong] term:alert (term_word)
vocab,138,strong,alien,,B1,An alien is a creature from a different world.,an_term,[strong] term:alien (term_word)
vocab,139,strong,align,,B2,"To align is to support a political group, country, or person that you agree with.",to_term,[strong] term:align (term_word)
vocab,140,strong,alike,,B1,"If two people or things are alike, they are similar to each other.",if_term,[strong] term:alike (term_word)
vocab,141,strong,alive,,A2,Someone or something that is alive is not dead.,,[strong] term:alive (term_word)
vocab,142,strong,all,,A1,All means the whole number or amount of something.,term_means,[strong] term:all (term_word)
vocab,143,strong,allege,,B2,To allege something is to say that it is true without offering proof.,to_term,[strong] term:allege (term_word)
vocab,146,strong,alley,,B1,An alley is a narrow road between houses or buildings.,an_term,[strong] term:alley (term_word)
vocab,147,strong,alliance,,B2,An alliance is a group of people who work together.,an_term,[strong] term:alliance (term_word)
vocab,148,strong,allocate,,B2,To allocate something means to put it aside for a certain purpose or person.,to_term,[strong] term:allocate (term_word)
vocab,149,strong,allow,,A2,To allow something to happen means to let it happen.,to_term,[strong] term:allow (term_word)
vocab,150,strong,allowance,,B1,An allowance is an amount of money given regularly.,an_term,[strong] term:allowance (term_word)
vocab,151,strong,alloy,,B2,An alloy is a metal made by combining two or more metals.,an_term,[strong] term:alloy (term_word)
vocab,152,strong,ally,,B2,An ally is someone who agrees to help or support another person or group.,an_term,[strong] term:ally (term_word)
vocab,153,strong,almost,,A1,Almost means nearly all or nearly all of something.,term_means,[strong] term:almost (term_word)
vocab,154,strong,alone,,A2,A person who is alone is not with another person.,,[strong] term:alone (term_word)
vocab,155,strong,along,,A2,"Along means down the length of a road, river, etc.",term_means,[strong] term:along (term_word)
vocab,156,strong,alongside,,B1,"If something is alongside another thing, then it is next to it.",if_term,[strong] term:alongside (term_word)
vocab,157,strong,aloud,,B1,An action done aloud is done so that people can hear it.,,[strong] term:aloud (term_word)
vocab,158,strong,alphabet,,A1,An alphabet is a set of letters used for writing.,an_term,[strong] term:alphabet (term_word)
vocab,159,strong,already,,A2,"If something happens already, it happens before a certain time.",if_term,[strong] term:already (term_word)
vocab,160,strong,also,,A1,Also means in addition to or too.,term_means,[strong] term:also (term_word)
vocab,161,strong,alter,,B2,To alter something means to change it.,to_term,[strong] term:alter (term_word)
vocab,162,strong,alternate,,B2,If one thing alternates with another it happens after it and keeps being repeated.,,[strong] term:alternates (term_word)
vocab,166,strong,alternative,,B2,An alternative is something that you can choose instead of your first choice.,an_term,[strong] term:alternative (term_word)
vocab,167,strong,although,,A2,You use although to say that one thing is contrasted by another.,,[strong] term:although (term_word)
vocab,168,strong,altitude,,B2,Altitude is the height of something above sea level.,term_is,[strong] term:altitude (term_word)
vocab,169,strong,altogether,,B2,"If something happens altogether, it happens completely.",if_term,[strong] term:altogether (term_word)
vocab,170,strong,aluminum,,B2,Aluminum is a chemical element that is a light silver-coloured metal.,term_is,[strong] term:aluminum (term_word)
vocab,171,strong,always,,A1,Always means that something happens all the time.,term_means,[strong] term:always (term_word)
vocab,172,strong,amateur,,B2,An amateur is a person who does something for fun and isn’t paid for it.,an_term,[strong] term:amateur (term_word)
vocab,173,strong,amaze,,B1,To amaze people is to surprise them very much.,to_term,[strong] term:amaze (term_word)
vocab,174,strong,ambassador,,B2,An ambassador is a government worker who works in another country.,an_term,[strong] term:ambassador (term_word)
vocab,175,strong,ambiguous,,B2,"If something is ambiguous, it is not entirely clear.",if_term,[strong] term:ambiguous (term_word)
vocab,177,strong,ambition,,B2,Ambition is the desire to succeed and to become the best at something.,term_is,[strong] term:ambition (term_word)
vocab,178,strong,ambitious,,B2,An ambitious person wants to be rich or successful.,an_term,[strong] term:ambitious (term_word)
vocab,179,strong,ambulance,,A2,An ambulance is a vehicle that transports people in a medical emergency.,an_term,[strong] term:ambulance (term_word)
vocab,180,strong,amend,,B2,To amend something means to change it to improve or make it accurate.,to_term,[strong] term:amend (term_word)
vocab,182,strong,amid,,B2,"If something is amid something else, then it is in the middle of it.",if_term,[strong] term:amid (term_word)
vocab,183,strong,among,,B1,"If you are among certain things, they are all around you.",if_term,[strong] term:among (term_word)
vocab,184,strong,amount,,A2,An amount is how much there is of something.,an_term,[strong] term:amount (term_word)
vocab,185,strong,ample,,B2,"If something is ample, then it is enough or more than enough.",if_term,[strong] term:ample (term_word)
vocab,187,strong,amuse,,B2,To amuse someone means to do something that is funny or entertaining.,to_term,[strong] term:amuse (term_word)
vocab,189,strong,analogous,,B2,"If something is analogous to another thing, then it is like it in certain ways.",if_term,[strong] term:analogous (term_word)
vocab,190,strong,analytic,,B2,"If something is analytic, it is related to logic and reasoning.",if_term,[strong] term:analytic (term_word)
vocab,191,strong,analyze,,B2,To analyze something is to study it.,to_term,[strong] term:analyze (term_word)
vocab,195,strong,ancient,,B2,"If something is ancient, it is very old.",if_term,[strong] term:ancient (term_word)
vocab,196,strong,and,,A1,And is used to connect words or phrases.,term_is,[strong] term:and (term_word)
vocab,197,strong,anew,,B2,"If you do something anew, you do it again, possibly in a different way.",if_term,[strong] term:anew (term_word)
vocab,198,strong,angel,,B2,An angel is a spiritual being that some people believe is God’s servant.,an_term,[strong] term:angel (term_word)
vocab,199,strong,anger,,A2,Anger is the strong feeling you get when something bad happens.,term_is,[strong] term:anger (term_word)
vocab,200,strong,angle,,B2,An angle is the direction from which something is looked at.,an_term,[strong] term:angle (term_word)
vocab,201,strong,angry,,A1,"When someone is angry, they have a strong feeling of annoyance or hostility.",,[strong] term:angry (term_word)
vocab,202,strong,animal,,A1,An animal is a living thing that can move.,an_term,[strong] term:animal (term_word)
vocab,203,strong,animate,,B2,"When something is animate, it has life.",,[strong] term:animate (term_word)
vocab,204,strong,ankle,,B1,An ankle connects your leg to your foot.,an_term,[strong] term:ankle (term_word)
vocab,205,strong,anniversary,,B1,An anniversary is a day that celebrates something from the past.,an_term,[strong] term:anniversary (term_word)
vocab,206,strong,announce,,B1,To announce something is to make it known.,to_term,[strong] term:announce (term_word)
vocab,207,strong,annoy,,B1,To annoy someone means to bother them.,to_term,[strong] term:annoy (term_word)
vocab,210,strong,annual,,B2,An annual event happens once a year.,an_term,[strong] term:annual (term_word)
vocab,211,strong,anonymous,,B2,"If someone is anonymous, no one knows who he or she is.",if_term,[strong] term:anonymous (term_word)
vocab,212,strong,another,,A1,Another means one more of the same kind.,term_means,[strong] term:another (term_word)
vocab,213,strong,answer,,A1,An answer is something you say when someone asks you a question.,an_term,[strong] term:answer (term_word)
vocab,214,strong,ant,,A2,An ant is a small insect that lives in large groups.,an_term,[strong] term:ant (term_word)
vocab,215,strong,anthem,,B2,An anthem is a formal or religious song.,an_term,[strong] term:anthem (term_word)
vocab,216,strong,anthropology,,B2,"Anthropology is the study of people, society, and culture.",term_is,[strong] term:anthropology (term_word)
vocab,217,strong,antibiotic,,B2,An antibiotic is a medical drug used to kill bacteria and treat infections.,an_term,[strong] term:antibiotic (term_word)
vocab,218,strong,anticipate,,B2,To anticipate something is to think that it will happen.,to_term,[strong] term:anticipate (term_word)
vocab,223,strong,anxiety,,B2,Anxiety is a feeling of worry and fear.,term_is,[strong] term:anxiety (term_word)
vocab,224,strong,anxious,,B1,Anxious means feeling worried or nervous.,term_means,[strong] term:anxious (term_word)
vocab,225,strong,any,,A1,Any is used to refer to one or more things when it does not matter which.,term_is,[strong] term:any (term_word)
vocab,226,strong,anyone,,A1,Anyone means any person.,term_means,[strong] term:anyone (term_word)
vocab,227,strong,anything,,A1,Anything means any thing.,term_means,[strong] term:anything (term_word)
vocab,228,strong,anyway,,A2,Anyway is used to change the subject or to end a conversation.,term_is,[strong] term:anyway (term_word)
vocab,229,strong,anywhere,,A1,Anywhere means in or to any place.,term_means,[strong] term:anywhere (term_word)
vocab,230,strong,apart,,B1,"When people or things are apart, they are not next to each other.",,[strong] term:apart (term_word)
vocab,231,strong,apartment,,A1,An apartment is a set of rooms in a building where people live.,an_term,[strong] term:apartment (term_word)
vocab,233,strong,apology,,B1,An apology is what people say to show that they are sorry.,an_term,[strong] term:apology (term_word)
vocab,234,strong,appall,,B2,To appall means to disgust someone.,to_term,[strong] term:appall (term_word)
vocab,235,strong,apparatus,,B2,An apparatus is a device used for a particular purpose.,an_term,[strong] term:apparatus (term_word)
vocab,236,strong,apparent,,B2,Apparent means clear or easy to see.,term_means,[strong] term:apparent (term_word)
vocab,238,strong,appeal,,B2,if something appeals to you you like it or want it,,[strong] term:appeals (term_word)
vocab,241,strong,appear,,A2,To appear is to seem.,to_term,[strong] term:appear (term_word)
vocab,242,strong,appetite,,B1,Your appetite is your hunger for food.,,[strong] term:appetite (term_word)
vocab,243,strong,appetizing,,B2,"When food is appetizing, it looks and smells very good.",,[strong] term:appetizing (term_word)
vocab,244,strong,applaud,,B1,To applaud means to clap in order to show approval.,to_term,[strong] term:applaud (term_word)
vocab,245,strong,appliance,,B2,An appliance is a piece of equipment used for jobs in the home.,an_term,[strong] term:appliance (term_word)
vocab,246,strong,applicable,,B2,"If something is applicable to a person or thing, it is relevant to them.",if_term,[strong] term:applicable (term_word)
vocab,247,strong,applicant,,B2,An applicant is someone who writes a request to be considered for a job or prize.,an_term,[strong] term:applicant (term_word)
vocab,248,strong,apply,,B1,To apply something means to put it on.,to_term,[strong] term:apply (term_word)
vocab,249,strong,appoint,,B2,To appoint someone to a job means to give the job to them.,to_term,[strong] term:appoint (term_word)
vocab,252,strong,apprentice,,B2,An apprentice is a person who learns how to do a job from a skilled person.,an_term,[strong] term:apprentice (term_word)
vocab,254,strong,approach,,B1,To approach something means to move close to it.,to_term,[strong] term:approach (term_word)
vocab,258,strong,appropriate,,B2,"When a thing is appropriate, it is right or normal.",,[strong] term:appropriate (term_word)
vocab,259,strong,approval,,B1,Approval is the feeling of liking something or someone.,term_is,[strong] term:approval (term_word)
vocab,260,strong,approve,,B1,To approve of something means you like or agree with that thing.,to_term,[strong] term:approve (term_word)
vocab,263,strong,apricot,,B2,"An apricot is a small, soft, orange fruit.",an_term,[strong] term:apricot (term_word)
vocab,264,strong,April,,A1,April is the fourth month of the year.,term_is,[strong] term:april (term_word)
vocab,265,strong,aquarium,,B2,An aquarium is a place where fish and underwater animals are kept.,an_term,[strong] term:aquarium (term_word)
vocab,266,strong,aquatic,,B2,"If a plant or animal is aquatic, it lives or grows in water.",if_term,[strong] term:aquatic (term_word)
vocab,267,strong,arbitrary,,B2,"If something is arbitrary, it is not based on any plan or system, so it seems random.",if_term,[strong] term:arbitrary (term_word)
vocab,269,strong,arc,,B2,An arc is a curved shape.,an_term,[strong] term:arc (term_word)
vocab,270,strong,arch,,B2,An arch is a curved opening formed under a structure such as a bridge or doorway.,an_term,[strong] term:arch (term_word)
vocab,271,strong,archaeology,,B2,Archaeology is the study of the remains left by ancient societies.,term_is,[strong] term:archaeology (term_word)
vocab,272,strong,archaic,,B2,"If something is archaic, it is very old or outdated.",if_term,[strong] term:archaic (term_word)
vocab,273,strong,archeological,,B2,"When something is archeological, it relates to archeology.",,[strong] term:archeological (term_word)
vocab,274,strong,archeology,,B2,Archeology is the study of ancient people through their artifacts.,term_is,[strong] term:archeology (term_word)
vocab,275,strong,architect,,B2,An architect is a person who designs buildings.,an_term,[strong] term:architect (term_word)
vocab,276,strong,architecture,,B2,Architecture is the design and form of a building.,term_is,[strong] term:architecture (term_word)
vocab,277,strong,arctic,,B2,"Arctic shows that something is of or from the cold, far-north part of the Earth.",,[strong] term:arctic (term_word)
vocab,280,strong,arena,,B2,An arena is a building where people can watch sports and concerts.,an_term,[strong] term:arena (term_word)
vocab,281,strong,argue,,B1,To argue is to disagree with someone using angry words.,to_term,[strong] term:argue (term_word)
vocab,282,strong,arid,,B2,"If a place is arid, then it is hot and dry and gets very little or no rain.",if_term,[strong] term:arid (term_word)
vocab,283,strong,arise,,B2,To arise is to happen.,to_term,[strong] term:arise (term_word)
vocab,284,strong,aristocracy,,B2,The aristocracy is the highest class of people in certain societies.,the_term,[strong] term:aristocracy (term_word)
vocab,285,strong,aristocrat,,B2,An aristocrat is a person who is of the highest class in certain societies.,an_term,[strong] term:aristocrat (term_word)
vocab,286,strong,arithmetic,,B1,Arithmetic is math.,term_is,[strong] term:arithmetic (term_word)
vocab,287,strong,arm,,A1,An arm is the long part of the body that connects the shoulder to the hand.,an_term,[strong] term:arm (term_word)
vocab,288,strong,army,,A2,An army is a large group of people who fight in wars.,an_term,[strong] term:army (term_word)
vocab,289,strong,aroma,,B2,An aroma is a scent or smell.,an_term,[strong] term:aroma (term_word)
vocab,290,strong,around,,A1,Around means on all sides of something.,term_means,[strong] term:around (term_word)
vocab,291,strong,arouse,,B2,To arouse means to awaken interest or attention in someone.,to_term,[strong] term:arouse (term_word)
vocab,292,strong,arrange,,B1,To arrange things is to put them in the right place.,to_term,[strong] term:arrange (term_word)
vocab,293,strong,array,,B2,An array is a large group or number of things.,an_term,[strong] term:array (term_word)
vocab,294,strong,arrest,,B1,To arrest someone means to catch that person for doing something bad.,to_term,[strong] term:arrest (term_word)
vocab,295,strong,arrive,,A1,To arrive is to get somewhere.,to_term,[strong] term:arrive (term_word)
vocab,296,strong,arrogant,,B2,"If someone is arrogant, they think that they are more important than others.",if_term,[strong] term:arrogant (term_word)
vocab,297,strong,arrow,,B2,"An arrow is a thin, straight stick shot from a bow.",an_term,[strong] term:arrow (term_word)
vocab,298,strong,art,,A2,Art is something creative that expresses ideas and feelings.,term_is,[strong] term:art (term_word)
vocab,299,strong,artery,,B2,An artery is a tube that takes blood from the heart to the rest of the body.,an_term,[strong] term:artery (term_word)
vocab,300,strong,arthritis,,B2,Arthritis is an illness causing pain and swelling in a person’s joints.,term_is,[strong] term:arthritis (term_word)
vocab,301,strong,article,,B1,An article is a story in a newspaper or magazine.,an_term,[strong] term:article (term_word)
vocab,302,strong,articulate,,B2,"If someone is articulate, he or she has the ability to express ideas clearly and effectively.",if_term,[strong] term:articulate (term_word)
vocab,303,strong,artifact,,B2,An artifact is an old object made by humans that is historically interesting.,an_term,[strong] term:artifact (term_word)
vocab,304,strong,artificial,,B2,"If something is artificial, it was not made naturally but mimics something natural.",if_term,[strong] term:artificial (term_word)
vocab,305,strong,artist,,A2,"An artist is a person who paints, draws, or makes sculptures.",an_term,[strong] term:artist (term_word)
vocab,306,strong,artistic,,B2,Artistic means relating to art or artists.,term_means,[strong] term:artistic (term_word)
vocab,307,strong,as,,A1,As is used to compare things or to show the way something happens.,term_is,[strong] term:as (term_word)
vocab,310,strong,ash,,B2,Ash is the grey or black powder created when something is burned.,term_is,[strong] term:ash (term_word)
vocab,311,strong,ashamed,,B1,Ashamed means feeling upset and embarrassed because of a bad action.,term_means,[strong] term:ashamed (term_word)
vocab,312,strong,aside,,B1,An action done aside is done toward the side of something or someplace.,,[strong] term:aside (term_word)
vocab,313,strong,ask,,A1,To ask is to say or write something to get an answer.,to_term,[strong] term:ask (term_word)
vocab,314,strong,asleep,,A1,Asleep means sleeping.,term_means,[strong] term:asleep (term_word)
vocab,315,strong,aspect,,B2,An aspect is one part or feature of something.,an_term,[strong] term:aspect (term_word)
vocab,317,strong,aspire,,B2,To aspire means to have a strong desire to achieve or do something.,to_term,[strong] term:aspire (term_word)
vocab,318,strong,assassin,,B2,An assassin is someone who murders an important person.,an_term,[strong] term:assassin (term_word)
vocab,319,strong,assassinate,,B2,To assassinate someone means to murder an important person.,to_term,[strong] term:assassinate (term_word)
vocab,320,strong,assault,,B2,An assault is a physical attack.,an_term,[strong] term:assault (term_word)
vocab,321,strong,assemble,,B2,To assemble means to get together in one place.,to_term,[strong] term:assemble (term_word)
vocab,322,strong,assembly,,B1,An assembly is a group gathered together for the same reason.,an_term,[strong] term:assembly (term_word)
vocab,325,strong,asset,,B2,An asset is a skill or quality that is useful or valuable.,an_term,[strong] term:asset (term_word)
vocab,326,strong,assign,,B1,"When you assign work, you give that work to particular people.",,[strong] term:assign (term_word)
vocab,328,strong,assignment,,B1,An assignment is task that is given to you to do.,an_term,[strong] term:assignment (term_word)
vocab,329,strong,assimilate,,B2,To assimilate is to adopt the ways of a new culture and fully become a part of it.,to_term,[strong] term:assimilate (term_word)
vocab,330,strong,assist,,B1,To assist someone is to help them.,to_term,[strong] term:assist (term_word)
