dictId,index,term,base,level,definition,matchSummary
vocab,154,alone,,A2,A person who is alone is not with another person.,term:alone (term_word)
vocab,155,along,,A2,"Along means down the length of a road, river, etc.",term:along (term_word)
vocab,156,alongside,,B1,"If something is alongside another thing, then it is next to it.",term:alongside (term_word)
vocab,157,aloud,,B1,An action done aloud is done so that people can hear it.,term:aloud (term_word)
vocab,158,alphabet,,A1,An alphabet is a set of letters used for writing.,term:alphabet (term_word)
vocab,159,already,,A2,"If something happens already, it happens before a certain time.",term:already (term_word)
vocab,160,also,,A1,Also means in addition to or too.,term:also (term_word)
vocab,161,alter,,B2,To alter something means to change it.,term:alter (term_word)
vocab,162,alternate,,B2,If one thing alternates with another it happens after it and keeps being repeated.,term:alternates (term_word)
vocab,166,alternative,,B2,An alternative is something that you can choose instead of your first choice.,term:alternative (term_word)
vocab,167,although,,A2,You use although to say that one thing is contrasted by another.,term:although (term_word)
vocab,168,altitude,,B2,Altitude is the height of something above sea level.,term:altitude (term_word)
vocab,169,altogether,,B2,"If something happens altogether, it happens completely.",term:altogether (term_word)
vocab,170,aluminum,,B2,Aluminum is a chemical element that is a light silver-coloured metal.,term:aluminum (term_word)
vocab,171,always,,A1,Always means that something happens all the time.,term:always (term_word)
vocab,172,amateur,,B2,An amateur is a person who does something for fun and isn’t paid for it.,term:amateur (term_word)
vocab,173,amaze,,B1,To amaze people is to surprise them very much.,term:amaze (term_word)
vocab,174,ambassador,,B2,An ambassador is a government worker who works in another country.,term:ambassador (term_word)
vocab,175,ambiguous,,B2,"If something is ambiguous, it is not entirely clear.",term:ambiguous (term_word)
vocab,177,ambition,,B2,Ambition is the desire to succeed and to become the best at something.,term:ambition (term_word)
vocab,178,ambitious,,B2,An ambitious person wants to be rich or successful.,term:ambitious (term_word)
vocab,179,ambulance,,A2,An ambulance is a vehicle that transports people in a medical emergency.,term:ambulance (term_word)
vocab,180,amend,,B2,To amend something means to change it to improve or make it accurate.,term:amend (term_word)
vocab,182,amid,,B2,"If something is amid something else, then it is in the middle of it.",term:amid (term_word)
vocab,183,among,,B1,"If you are among certain things, they are all around you.",term:among (term_word)
vocab,184,amount,,A2,An amount is how much there is of something.,term:amount (term_word)
vocab,185,ample,,B2,"If something is ample, then it is enough or more than enough.",term:ample (term_word)
vocab,187,amuse,,B2,To amuse someone means to do something that is funny or entertaining.,term:amuse (term_word)
vocab,189,analogous,,B2,"If something is analogous to another thing, then it is like it in certain ways.",term:analogous (term_word)
vocab,190,analytic,,B2,"If something is analytic, it is related to logic and reasoning.",term:analytic (term_word)
vocab,191,analyze,,B2,To analyze something is to study it.,term:analyze (term_word)
vocab,195,ancient,,B2,"If something is ancient, it is very old.",term:ancient (term_word)
vocab,196,and,,A1,And is used to connect words or phrases.,term:and (term_word)
vocab,197,anew,,B2,"If you do something anew, you do it again, possibly in a different way.",term:anew (term_word)
vocab,198,angel,,B2,An angel is a spiritual being that some people believe is God’s servant.,term:angel (term_word)
vocab,199,anger,,A2,Anger is the strong feeling you get when something bad happens.,term:anger (term_word)
vocab,200,angle,,B2,An angle is the direction from which something is looked at.,term:angle (term_word)
vocab,201,angry,,A1,"When someone is angry, they have a strong feeling of annoyance or hostility.",term:angry (term_word)
vocab,202,animal,,A1,An animal is a living thing that can move.,term:animal (term_word)
vocab,203,animate,,B2,"When something is animate, it has life.",term:animate (term_word)
vocab,204,ankle,,B1,An ankle connects your leg to your foot.,term:ankle (term_word)
vocab,205,anniversary,,B1,An anniversary is a day that celebrates something from the past.,term:anniversary (term_word)
vocab,206,announce,,B1,To announce something is to make it known.,term:announce (term_word)
vocab,207,annoy,,B1,To annoy someone means to bother them.,term:annoy (term_word)
vocab,210,annual,,B2,An annual event happens once a year.,term:annual (term_word)
vocab,211,anonymous,,B2,"If someone is anonymous, no one knows who he or she is.",term:anonymous (term_word)
vocab,212,another,,A1,Another means one more of the same kind.,term:another (term_word)
vocab,213,answer,,A1,An answer is something you say when someone asks you a question.,term:answer (term_word)
vocab,214,ant,,A2,An ant is a small insect that lives in large groups.,term:ant (term_word)
vocab,215,anthem,,B2,An anthem is a formal or religious song.,term:anthem (term_word)
vocab,216,anthropology,,B2,"Anthropology is the study of people, society, and culture.",term:anthropology (term_word)
vocab,217,antibiotic,,B2,An antibiotic is a medical drug used to kill bacteria and treat infections.,term:antibiotic (term_word)
vocab,218,anticipate,,B2,To anticipate something is to think that it will happen.,term:anticipate (term_word)
vocab,223,anxiety,,B2,Anxiety is a feeling of worry and fear.,term:anxiety (term_word)
vocab,224,anxious,,B1,Anxious means feeling worried or nervous.,term:anxious (term_word)
vocab,225,any,,A1,Any is used to refer to one or more things when it does not matter which.,term:any (term_word)
vocab,226,anyone,,A1,Anyone means any person.,term:anyone (term_word)
vocab,227,anything,,A1,Anything means any thing.,term:anything (term_word)
vocab,228,anyway,,A2,Anyway is used to change the subject or to end a conversation.,term:anyway (term_word)
vocab,229,anywhere,,A1,Anywhere means in or to any place.,term:anywhere (term_word)
vocab,230,apart,,B1,"When people or things are apart, they are not next to each other.",term:apart (term_word)
vocab,231,apartment,,A1,An apartment is a set of rooms in a building where people live.,term:apartment (term_word)
vocab,233,apology,,B1,An apology is what people say to show that they are sorry.,term:apology (term_word)
vocab,234,appall,,B2,To appall means to disgust someone.,term:appall (term_word)
vocab,235,apparatus,,B2,An apparatus is a device used for a particular purpose.,term:apparatus (term_word)
vocab,236,apparent,,B2,Apparent means clear or easy to see.,term:apparent (term_word)
vocab,238,appeal,,B2,if something appeals to you you like it or want it,term:appeals (term_word)
vocab,241,appear,,A2,To appear is to seem.,term:appear (term_word)
vocab,242,appetite,,B1,Your appetite is your hunger for food.,term:appetite (term_word)
vocab,243,appetizing,,B2,"When food is appetizing, it looks and smells very good.",term:appetizing (term_word)
vocab,244,applaud,,B1,To applaud means to clap in order to show approval.,term:applaud (term_word)
vocab,245,appliance,,B2,An appliance is a piece of equipment used for jobs in the home.,term:appliance (term_word)
vocab,246,applicable,,B2,"If something is applicable to a person or thing, it is relevant to them.",term:applicable (term_word)
vocab,247,applicant,,B2,An applicant is someone who writes a request to be considered for a job or prize.,term:applicant (term_word)
vocab,248,apply,,B1,To apply something means to put it on.,term:apply (term_word)
vocab,249,appoint,,B2,To appoint someone to a job means to give the job to them.,term:appoint (term_word)
vocab,252,apprentice,,B2,An apprentice is a person who learns how to do a job from a skilled person.,term:apprentice (term_word)
vocab,254,approach,,B1,To approach something means to move close to it.,term:approach (term_word)
vocab,258,appropriate,,B2,"When a thing is appropriate, it is right or normal.",term:appropriate (term_word)
vocab,259,approval,,B1,Approval is the feeling of liking something or someone.,term:approval (term_word)
vocab,260,approve,,B1,To approve of something means you like or agree with that thing.,term:approve (term_word)
vocab,263,apricot,,B2,"An apricot is a small, soft, orange fruit.",term:apricot (term_word)
vocab,264,April,,A1,April is the fourth month of the year.,term:april (term_word)
vocab,265,aquarium,,B2,An aquarium is a place where fish and underwater animals are kept.,term:aquarium (term_word)
vocab,266,aquatic,,B2,"If a plant or animal is aquatic, it lives or grows in water.",term:aquatic (term_word)
vocab,267,arbitrary,,B2,"If something is arbitrary, it is not based on any plan or system, so it seems random.",term:arbitrary (term_word)
vocab,269,arc,,B2,An arc is a curved shape.,term:arc (term_word)
vocab,270,arch,,B2,An arch is a curved opening formed under a structure such as a bridge or doorway.,term:arch (term_word)
vocab,271,archaeology,,B2,Archaeology is the study of the remains left by ancient societies.,term:archaeology (term_word)
vocab,272,archaic,,B2,"If something is archaic, it is very old or outdated.",term:archaic (term_word)
vocab,273,archeological,,B2,"When something is archeological, it relates to archeology.",term:archeological (term_word)
vocab,274,archeology,,B2,Archeology is the study of ancient people through their artifacts.,term:archeology (term_word)
vocab,275,architect,,B2,An architect is a person who designs buildings.,term:architect (term_word)
vocab,276,architecture,,B2,Architecture is the design and form of a building.,term:architecture (term_word)
vocab,277,arctic,,B2,"Arctic shows that something is of or from the cold, far-north part of the Earth.",term:arctic (term_word)
vocab,280,arena,,B2,An arena is a building where people can watch sports and concerts.,term:arena (term_word)
vocab,281,argue,,B1,To argue is to disagree with someone using angry words.,term:argue (term_word)
vocab,282,arid,,B2,"If a place is arid, then it is hot and dry and gets very little or no rain.",term:arid (term_word)
vocab,283,arise,,B2,To arise is to happen.,term:arise (term_word)
vocab,284,aristocracy,,B2,The aristocracy is the highest class of people in certain societies.,term:aristocracy (term_word)
vocab,285,aristocrat,,B2,An aristocrat is a person who is of the highest class in certain societies.,term:aristocrat (term_word)
vocab,286,arithmetic,,B1,Arithmetic is math.,term:arithmetic (term_word)
vocab,287,arm,,A1,An arm is the long part of the body that connects the shoulder to the hand.,term:arm (term_word)
vocab,288,army,,A2,An army is a large group of people who fight in wars.,term:army (term_word)
vocab,289,aroma,,B2,An aroma is a scent or smell.,term:aroma (term_word)
vocab,290,around,,A1,Around means on all sides of something.,term:around (term_word)
vocab,291,arouse,,B2,To arouse means to awaken interest or attention in someone.,term:arouse (term_word)
vocab,292,arrange,,B1,To arrange things is to put them in the right place.,term:arrange (term_word)
vocab,293,array,,B2,An array is a large group or number of things.,term:array (term_word)
vocab,294,arrest,,B1,To arrest someone means to catch that person for doing something bad.,term:arrest (term_word)
vocab,295,arrive,,A1,To arrive is to get somewhere.,term:arrive (term_word)
vocab,296,arrogant,,B2,"If someone is arrogant, they think that they are more important than others.",term:arrogant (term_word)
vocab,297,arrow,,B2,"An arrow is a thin, straight stick shot from a bow.",term:arrow (term_word)
vocab,298,art,,A2,Art is something creative that expresses ideas and feelings.,term:art (term_word)
vocab,299,artery,,B2,An artery is a tube that takes blood from the heart to the rest of the body.,term:artery (term_word)
vocab,300,arthritis,,B2,Arthritis is an illness causing pain and swelling in a person’s joints.,term:arthritis (term_word)
vocab,301,article,,B1,An article is a story in a newspaper or magazine.,term:article (term_word)
vocab,302,articulate,,B2,"If someone is articulate, he or she has the ability to express ideas clearly and effectively.",term:articulate (term_word)
vocab,303,artifact,,B2,An artifact is an old object made by humans that is historically interesting.,term:artifact (term_word)
vocab,304,artificial,,B2,"If something is artificial, it was not made naturally but mimics something natural.",term:artificial (term_word)
vocab,305,artist,,A2,"An artist is a person who paints, draws, or makes sculptures.",term:artist (term_word)
vocab,306,artistic,,B2,Artistic means relating to art or artists.,term:artistic (term_word)
vocab,307,as,,A1,As is used to compare things or to show the way something happens.,term:as (term_word)
vocab,310,ash,,B2,Ash is the grey or black powder created when something is burned.,term:ash (term_word)
vocab,311,ashamed,,B1,Ashamed means feeling upset and embarrassed because of a bad action.,term:ashamed (term_word)
vocab,312,aside,,B1,An action done aside is done toward the side of something or someplace.,term:aside (term_word)
vocab,313,ask,,A1,To ask is to say or write something to get an answer.,term:ask (term_word)
vocab,314,asleep,,A1,Asleep means sleeping.,term:asleep (term_word)
vocab,315,aspect,,B2,An aspect is one part or feature of something.,term:aspect (term_word)
vocab,317,aspire,,B2,To aspire means to have a strong desire to achieve or do something.,term:aspire (term_word)
vocab,318,assassin,,B2,An assassin is someone who murders an important person.,term:assassin (term_word)
vocab,319,assassinate,,B2,To assassinate someone means to murder an important person.,term:assassinate (term_word)
vocab,320,assault,,B2,An assault is a physical attack.,term:assault (term_word)
vocab,321,assemble,,B2,To assemble means to get together in one place.,term:assemble (term_word)
vocab,322,assembly,,B1,An assembly is a group gathered together for the same reason.,term:assembly (term_word)
vocab,325,asset,,B2,An asset is a skill or quality that is useful or valuable.,term:asset (term_word)
vocab,326,assign,,B1,"When you assign work, you give that work to particular people.",term:assign (term_word)
vocab,328,assignment,,B1,An assignment is task that is given to you to do.,term:assignment (term_word)
vocab,329,assimilate,,B2,To assimilate is to adopt the ways of a new culture and fully become a part of it.,term:assimilate (term_word)
vocab,330,assist,,B1,To assist someone is to help them.,term:assist (term_word)
vocab,331,associate,,B2,To associate means to connect something with a person or thing.,term:associate (term_word)
vocab,333,assure,,B2,To assure people is to tell them something is true to make them less worried.,term:assure (term_word)
vocab,334,asteroid,,B2,An asteroid is a giant rock from outer space.,term:asteroid (term_word)
vocab,335,astonish,,B2,To astonish someone means to greatly surprise them.,term:astonish (term_word)
vocab,336,astrology,,B2,Astrology is the study of the stars in the belief that they influence people’s lives.,term:astrology (term_word)
vocab,337,astronaut,,A2,An astronaut is a person who goes into outer space.,term:astronaut (term_word)
vocab,338,astronomy,,B2,Astronomy is the study of the stars and planets.,term:astronomy (term_word)
vocab,339,asylum,,B2,An asylum is a hospital for people with mental illness.,term:asylum (term_word)
vocab,340,at,,A1,At is used to show a specific place or time.,term:at (term_word)
vocab,341,athlete,,A2,An athlete is a person who plays sports.,term:athlete (term_word)
vocab,342,atmosphere,,B2,The atmosphere is the air around the Earth where weather conditions form.,term:atmosphere (term_word)
vocab,343,atom,,B2,An atom is the smallest unit of a substance.,term:atom (term_word)
vocab,345,attach,,B2,To attach is to put two things together.,term:attach (term_word)
vocab,346,attack,,B1,To attack something is to hurt or damage it.,term:attack (term_word)
vocab,347,attain,,B2,To attain something is to succeed at something or to get something you want.,term:attain (term_word)
vocab,348,attempt,,B1,"An attempt is an act of trying to do something, especially something difficult.",term:attempt (term_word)
vocab,349,attend,,B1,To attend something is to go to it.,term:attend (term_word)
vocab,350,attention,,A2,"Attention is the notice, thought, or consideration of someone.",term:attention (term_word)
vocab,351,attic,,B1,An attic is a room just below a house’s roof.,term:attic (term_word)
vocab,352,attire,,B2,Attire is nice or special clothing.,term:attire (term_word)
vocab,353,attitude,,B1,Someone’s attitude is the way they feel and think.,term:attitude (term_word)
vocab,354,attorney,,B2,An attorney is one who gives others advice about the law.,term:attorney (term_word)
vocab,355,attract,,B1,To attract means to make a person or thing come closer or be interested.,term:attract (term_word)
vocab,358,auction,,B2,An auction is a public sale where things are sold to the highest bidder.,term:auction (term_word)
vocab,359,audible,,B2,"If something is audible, then it is able to be heard.",term:audible (term_word)
vocab,360,audience,,A2,An audience is a group of people who gather to watch someone do something.,term:audience (term_word)
vocab,361,audio,,B2,"Audio is sound, especially when recorded.",term:audio (term_word)
vocab,362,audit,,B2,To audit means to inspect financial records from a person or business.,term:audit (term_word)
vocab,364,auditorium,,B2,An auditorium is a large building used for public events.,term:auditorium (term_word)
vocab,365,August,,A1,August is the eighth month of the year.,term:august (term_word)
vocab,366,aunt,,A1,An aunt is the sister of one’s mother or father.,term:aunt (term_word)
vocab,367,authentic,,B2,"When something is authentic, it is not false or a copy of the original.",term:authentic (term_word)
vocab,368,author,,A2,An author is a person who wrote a certain piece of writing.,term:author (term_word)
vocab,369,authoritative,,B2,"If something is authoritative, it uses the best information available.",term:authoritative (term_word)
vocab,371,authorize,,B2,To authorize something means to give permission for it.,term:authorize (term_word)
vocab,372,autobiography,,B2,An autobiography is a true story of a person’s life written by that person.,term:autobiography (term_word)
vocab,373,automate,,B2,To automate something means to have machines or computers do the work.,term:automate (term_word)
vocab,374,automatic,,B2,Automatic means working by itself without human control.,term:automatic (term_word)
vocab,375,automatically,,B2,"If an action happens automatically, it happens without thinking or planning.",term:automatically (term_word)
vocab,376,automobile,,B2,An automobile is a car.,term:automobile (term_word)
vocab,377,autonomy,,B2,Autonomy is another word for freedom or independence.,term:autonomy (term_word)
vocab,378,autumn,,A2,Autumn is the season of the year between summer and winter.,term:autumn (term_word)
vocab,379,avail,,B2,Avail is help or benefit.,term:avail (term_word)
vocab,380,available,,A2,"If something is available, it means you can get it.",term:available (term_word)
vocab,381,avalanche,,B2,"An avalanche is a large amount of snow, ice, and rock falling off a mountain.",term:avalanche (term_word)
vocab,382,avenue,,B1,"An avenue is a road, often a large one with buildings on each side.",term:avenue (term_word)
vocab,391,avoid,,B1,To avoid something is to stay away from it.,term:avoid (term_word)
vocab,392,await,,B1,To await something means to wait for it.,term:await (term_word)
vocab,393,awake,,B1,A person who is awake is not asleep.,term:awake (term_word)
vocab,394,award,,A2,An award is a prize for doing something well.,term:award (term_word)
vocab,395,aware,,B1,"If someone is aware, they know that something or a situation exists.",term:aware (term_word)
vocab,396,awareness,,B2,An awareness is knowledge or perception or a situation or fact.,term:awareness (term_word)
vocab,397,away,,A1,Away means to or at a distance from something.,term:away (term_word)
vocab,398,awesome,,B2,"If things or people are awesome, they are impressive or frightening.",term:awesome (term_word)
vocab,399,awful,,A2,An awful thing is very bad.,term:awful (term_word)
vocab,400,awhile,,B1,"If you do something awhile, you do it for a short time.",term:awhile (term_word)
vocab,401,awkward,,B2,An awkward thing is embarrassing and uncomfortable.,term:awkward (term_word)
vocab,402,ax,,B2,An ax is a tool used to cut wood.,term:ax (term_word)
vocab,403,axis,,B2,An axis is an imaginary line through the center of something.,term:axis (term_word)
vocab,404,baby,,A1,A baby is a very young child.,term:baby (term_word)
vocab,405,bachelor,,B2,A bachelor is an unmarried man.,term:bachelor (term_word)
vocab,406,back,,A1,The back is the rear part of the body.,term:back (term_word)
vocab,407,background,,B1,"A background is a person’s education, family, and experience.",term:background (term_word)
vocab,408,backpack,,A2,A backpack is a bag worn on the back.,term:backpack (term_word)
vocab,409,backstage,,B2,"If something happens backstage, it occurs behind a theater’s stage.",term:backstage (term_word)
vocab,410,backward,,A2,Backward means toward the back or the opposite direction.,term:backward (term_word)
vocab,411,bacon,,A2,Bacon is salted meat from a pig.,term:bacon (term_word)
vocab,412,bacteria,,B2,Bacteria are very small living things that can cause disease.,term:bacteria (term_word)
vocab,413,bad,,A1,"When something is bad, it is not good.",term:bad (term_word)
